id,label,tier,phase_name,sprite,composite,state_label,grip,layer_order
dagger,daga,1,Reposo (movimiento mediante el rig),F011A0,C011A0,CA_FP1_dagger_T1_A,closed,"['F011A0', 'FH00A0']"
dagger,daga,2,Reposo (movimiento mediante el rig),F012A0,C012A0,CA_FP1_dagger_T2_A,closed,"['F012A0', 'FH00A0']"
dagger,daga,3,Reposo (movimiento mediante el rig),F013A0,C013A0,CA_FP1_dagger_T3_A,closed,"['F013A0', 'FH00A0']"
hatchet,hachuela,1,Reposo (movimiento mediante el rig),F021A0,C021A0,CA_FP1_hatchet_T1_A,closed,"['F021A0', 'FH00A0']"
hatchet,hachuela,2,Reposo (movimiento mediante el rig),F022A0,C022A0,CA_FP1_hatchet_T2_A,closed,"['F022A0', 'FH00A0']"
hatchet,hachuela,3,Reposo (movimiento mediante el rig),F023A0,C023A0,CA_FP1_hatchet_T3_A,closed,"['F023A0', 'FH00A0']"
machete,machete,1,Reposo (movimiento mediante el rig),F031A0,C031A0,CA_FP1_machete_T1_A,closed,"['F031A0', 'FH00A0']"
machete,machete,2,Reposo (movimiento mediante el rig),F032A0,C032A0,CA_FP1_machete_T2_A,closed,"['F032A0', 'FH00A0']"
machete,machete,3,Reposo (movimiento mediante el rig),F033A0,C033A0,CA_FP1_machete_T3_A,closed,"['F033A0', 'FH00A0']"
javelin,jabalina,1,Reposo (movimiento mediante el rig),F041A0,C041A0,CA_FP1_javelin_T1_A,closed,"['F041A0', 'FH00A0']"
javelin,jabalina,2,Reposo (movimiento mediante el rig),F042A0,C042A0,CA_FP1_javelin_T2_A,closed,"['F042A0', 'FH00A0']"
javelin,jabalina,3,Reposo (movimiento mediante el rig),F043A0,C043A0,CA_FP1_javelin_T3_A,closed,"['F043A0', 'FH00A0']"
sword,espada,1,Reposo (movimiento mediante el rig),F051A0,C051A0,CA_FP1_sword_T1_A,closed,"['F051A0', 'FH00A0']"
sword,espada,2,Reposo (movimiento mediante el rig),F052A0,C052A0,CA_FP1_sword_T2_A,closed,"['F052A0', 'FH00A0']"
sword,espada,3,Reposo (movimiento mediante el rig),F053A0,C053A0,CA_FP1_sword_T3_A,closed,"['F053A0', 'FH00A0']"
