personaje,pose,cuadro,rotacion,archivo,ancho,alto,offset_x,offset_y,visible_bounds
rulo,sentado_sin_silla,A,1,src/sprites/caelum/rest/rulo/RSRUA1.png,256,256,128,244,"76,108,180,244"
rulo,sentado_sin_silla,A,2,src/sprites/caelum/rest/rulo/RSRUA2.png,256,256,128,244,"73,103,183,244"
rulo,sentado_sin_silla,A,3,src/sprites/caelum/rest/rulo/RSRUA3.png,256,256,128,244,"81,105,175,244"
rulo,sentado_sin_silla,A,4,src/sprites/caelum/rest/rulo/RSRUA4.png,256,256,128,244,"75,105,181,244"
rulo,sentado_sin_silla,A,5,src/sprites/caelum/rest/rulo/RSRUA5.png,256,256,128,244,"76,107,180,244"
rulo,sentado_sin_silla,A,6,src/sprites/caelum/rest/rulo/RSRUA6.png,256,256,128,244,"74,100,182,244"
rulo,sentado_sin_silla,A,7,src/sprites/caelum/rest/rulo/RSRUA7.png,256,256,128,244,"77,99,179,244"
rulo,sentado_sin_silla,A,8,src/sprites/caelum/rest/rulo/RSRUA8.png,256,256,128,244,"72,97,184,244"
rulo,agachado,C,1,src/sprites/caelum/rest/rulo/RSRUC1.png,256,256,128,244,"72,137,184,244"
rulo,agachado,C,2,src/sprites/caelum/rest/rulo/RSRUC2.png,256,256,128,244,"76,132,180,244"
rulo,agachado,C,3,src/sprites/caelum/rest/rulo/RSRUC3.png,256,256,128,244,"77,133,178,244"
rulo,agachado,C,4,src/sprites/caelum/rest/rulo/RSRUC4.png,256,256,128,244,"74,132,182,244"
rulo,agachado,C,5,src/sprites/caelum/rest/rulo/RSRUC5.png,256,256,128,244,"73,135,182,244"
rulo,agachado,C,6,src/sprites/caelum/rest/rulo/RSRUC6.png,256,256,128,244,"76,131,180,244"
rulo,agachado,C,7,src/sprites/caelum/rest/rulo/RSRUC7.png,256,256,128,244,"77,130,178,244"
rulo,agachado,C,8,src/sprites/caelum/rest/rulo/RSRUC8.png,256,256,128,244,"71,131,184,244"
rulo,caminar_agachado,D,1,src/sprites/caelum/rest/rulo/RSRUD1.png,256,256,128,244,"73,129,183,244"
rulo,caminar_agachado,E,1,src/sprites/caelum/rest/rulo/RSRUE1.png,256,256,128,244,"76,136,180,244"
rulo,caminar_agachado,F,1,src/sprites/caelum/rest/rulo/RSRUF1.png,256,256,128,244,"74,129,185,244"
rulo,caminar_agachado,G,1,src/sprites/caelum/rest/rulo/RSRUG1.png,256,256,128,244,"76,136,181,244"
rulo,caminar_agachado,D,2,src/sprites/caelum/rest/rulo/RSRUD2.png,256,256,128,244,"77,124,185,244"
rulo,caminar_agachado,E,2,src/sprites/caelum/rest/rulo/RSRUE2.png,256,256,128,244,"78,125,183,244"
rulo,caminar_agachado,F,2,src/sprites/caelum/rest/rulo/RSRUF2.png,256,256,128,244,"79,125,184,244"
rulo,caminar_agachado,G,2,src/sprites/caelum/rest/rulo/RSRUG2.png,256,256,128,244,"77,125,183,244"
rulo,caminar_agachado,D,3,src/sprites/caelum/rest/rulo/RSRUD3.png,256,256,128,244,"78,132,187,244"
rulo,caminar_agachado,E,3,src/sprites/caelum/rest/rulo/RSRUE3.png,256,256,128,244,"82,132,186,244"
rulo,caminar_agachado,F,3,src/sprites/caelum/rest/rulo/RSRUF3.png,256,256,128,244,"82,132,185,244"
rulo,caminar_agachado,G,3,src/sprites/caelum/rest/rulo/RSRUG3.png,256,256,128,244,"82,132,183,244"
rulo,caminar_agachado,D,4,src/sprites/caelum/rest/rulo/RSRUD4.png,256,256,128,244,"76,125,186,244"
rulo,caminar_agachado,E,4,src/sprites/caelum/rest/rulo/RSRUE4.png,256,256,128,244,"78,123,186,244"
rulo,caminar_agachado,F,4,src/sprites/caelum/rest/rulo/RSRUF4.png,256,256,128,244,"74,126,192,244"
rulo,caminar_agachado,G,4,src/sprites/caelum/rest/rulo/RSRUG4.png,256,256,128,244,"78,123,186,244"
rulo,caminar_agachado,D,5,src/sprites/caelum/rest/rulo/RSRUD5.png,256,256,128,244,"79,135,180,244"
rulo,caminar_agachado,E,5,src/sprites/caelum/rest/rulo/RSRUE5.png,256,256,128,244,"78,143,178,244"
rulo,caminar_agachado,F,5,src/sprites/caelum/rest/rulo/RSRUF5.png,256,256,128,244,"76,135,179,244"
rulo,caminar_agachado,G,5,src/sprites/caelum/rest/rulo/RSRUG5.png,256,256,128,244,"78,142,178,244"
rulo,caminar_agachado,D,6,src/sprites/caelum/rest/rulo/RSRUD6.png,256,256,128,244,"72,131,179,244"
rulo,caminar_agachado,E,6,src/sprites/caelum/rest/rulo/RSRUE6.png,256,256,128,244,"74,133,175,244"
rulo,caminar_agachado,F,6,src/sprites/caelum/rest/rulo/RSRUF6.png,256,256,128,244,"75,131,178,244"
rulo,caminar_agachado,G,6,src/sprites/caelum/rest/rulo/RSRUG6.png,256,256,128,244,"75,132,175,244"
rulo,caminar_agachado,D,7,src/sprites/caelum/rest/rulo/RSRUD7.png,256,256,128,244,"74,136,179,244"
rulo,caminar_agachado,E,7,src/sprites/caelum/rest/rulo/RSRUE7.png,256,256,128,244,"74,136,179,244"
rulo,caminar_agachado,F,7,src/sprites/caelum/rest/rulo/RSRUF7.png,256,256,128,244,"73,135,185,244"
rulo,caminar_agachado,G,7,src/sprites/caelum/rest/rulo/RSRUG7.png,256,256,128,244,"75,135,181,244"
rulo,caminar_agachado,D,8,src/sprites/caelum/rest/rulo/RSRUD8.png,256,256,128,244,"75,128,182,244"
rulo,caminar_agachado,E,8,src/sprites/caelum/rest/rulo/RSRUE8.png,256,256,128,244,"78,132,177,244"
rulo,caminar_agachado,F,8,src/sprites/caelum/rest/rulo/RSRUF8.png,256,256,128,244,"75,129,182,244"
rulo,caminar_agachado,G,8,src/sprites/caelum/rest/rulo/RSRUG8.png,256,256,128,244,"74,128,184,244"
ronnie,sentado_sin_silla,A,1,src/sprites/caelum/rest/ronnie/RSROA1.png,256,256,128,244,"83,104,173,244"
ronnie,sentado_sin_silla,A,2,src/sprites/caelum/rest/ronnie/RSROA2.png,256,256,128,244,"82,102,173,244"
ronnie,sentado_sin_silla,A,3,src/sprites/caelum/rest/ronnie/RSROA3.png,256,256,128,244,"84,104,172,244"
ronnie,sentado_sin_silla,A,4,src/sprites/caelum/rest/ronnie/RSROA4.png,256,256,128,244,"81,110,174,244"
ronnie,sentado_sin_silla,A,5,src/sprites/caelum/rest/ronnie/RSROA5.png,256,256,128,244,"84,108,172,244"
ronnie,sentado_sin_silla,A,6,src/sprites/caelum/rest/ronnie/RSROA6.png,256,256,128,244,"84,108,172,244"
ronnie,sentado_sin_silla,A,7,src/sprites/caelum/rest/ronnie/RSROA7.png,256,256,128,244,"84,103,172,244"
ronnie,sentado_sin_silla,A,8,src/sprites/caelum/rest/ronnie/RSROA8.png,256,256,128,244,"81,102,174,244"
ronnie,agachado,C,1,src/sprites/caelum/rest/ronnie/RSROC1.png,256,256,128,244,"83,134,172,244"
