personaje,pose,rotacion,archivo,ancho,alto,offset_x,offset_y,visible_x,visible_y,visible_ancho,visible_alto
rulo,sentado,1,src/sprites/caelum/rest/rulo/RSRUA1.png,256,256,128,244,76,104,103,140
rulo,sentado,2,src/sprites/caelum/rest/rulo/RSRUA2.png,256,256,128,244,71,104,114,140
rulo,sentado,3,src/sprites/caelum/rest/rulo/RSRUA3.png,256,256,128,244,79,106,98,138
rulo,sentado,4,src/sprites/caelum/rest/rulo/RSRUA4.png,256,256,128,244,71,105,113,139
rulo,sentado,5,src/sprites/caelum/rest/rulo/RSRUA5.png,256,256,128,244,77,107,101,137
rulo,sentado,6,src/sprites/caelum/rest/rulo/RSRUA6.png,256,256,128,244,71,103,113,141
rulo,sentado,7,src/sprites/caelum/rest/rulo/RSRUA7.png,256,256,128,244,76,104,104,140
rulo,sentado,8,src/sprites/caelum/rest/rulo/RSRUA8.png,256,256,128,244,71,102,114,142
rulo,acostado,1,src/sprites/caelum/rest/rulo/RSRUB1.png,256,256,128,244,72,128,111,116
rulo,acostado,2,src/sprites/caelum/rest/rulo/RSRUB2.png,256,256,128,244,48,121,160,123
rulo,acostado,3,src/sprites/caelum/rest/rulo/RSRUB3.png,256,256,128,244,33,193,190,51
rulo,acostado,4,src/sprites/caelum/rest/rulo/RSRUB4.png,256,256,128,244,47,128,161,116
rulo,acostado,5,src/sprites/caelum/rest/rulo/RSRUB5.png,256,256,128,244,69,130,118,114
rulo,acostado,6,src/sprites/caelum/rest/rulo/RSRUB6.png,256,256,128,244,51,139,154,105
rulo,acostado,7,src/sprites/caelum/rest/rulo/RSRUB7.png,256,256,128,244,33,189,190,55
rulo,acostado,8,src/sprites/caelum/rest/rulo/RSRUB8.png,256,256,128,244,43,123,170,121
ronnie,sentado,1,src/sprites/caelum/rest/ronnie/RSROA1.png,256,256,128,244,83,103,90,141
ronnie,sentado,2,src/sprites/caelum/rest/ronnie/RSROA2.png,256,256,128,244,80,102,95,142
ronnie,sentado,3,src/sprites/caelum/rest/ronnie/RSROA3.png,256,256,128,244,83,105,89,139
ronnie,sentado,4,src/sprites/caelum/rest/ronnie/RSROA4.png,256,256,128,244,78,106,99,138
ronnie,sentado,5,src/sprites/caelum/rest/ronnie/RSROA5.png,256,256,128,244,85,107,86,137
ronnie,sentado,6,src/sprites/caelum/rest/ronnie/RSROA6.png,256,256,128,244,81,104,93,140
ronnie,sentado,7,src/sprites/caelum/rest/ronnie/RSROA7.png,256,256,128,244,81,104,94,140
ronnie,sentado,8,src/sprites/caelum/rest/ronnie/RSROA8.png,256,256,128,244,81,103,94,141
ronnie,acostado,1,src/sprites/caelum/rest/ronnie/RSROB1.png,256,256,128,244,80,139,96,105
ronnie,acostado,2,src/sprites/caelum/rest/ronnie/RSROB2.png,256,256,128,244,60,133,135,111
ronnie,acostado,3,src/sprites/caelum/rest/ronnie/RSROB3.png,256,256,128,244,33,200,190,44
ronnie,acostado,4,src/sprites/caelum/rest/ronnie/RSROB4.png,256,256,128,244,55,136,146,108
ronnie,acostado,5,src/sprites/caelum/rest/ronnie/RSROB5.png,256,256,128,244,84,144,88,100
ronnie,acostado,6,src/sprites/caelum/rest/ronnie/RSROB6.png,256,256,128,244,63,138,129,106
ronnie,acostado,7,src/sprites/caelum/rest/ronnie/RSROB7.png,256,256,128,244,34,200,188,44
ronnie,acostado,8,src/sprites/caelum/rest/ronnie/RSROB8.png,256,256,128,244,48,135,160,109
argento,sentado,1,src/sprites/caelum/rest/argento/RSARA1.png,256,256,128,244,83,102,90,142
argento,sentado,2,src/sprites/caelum/rest/argento/RSARA2.png,256,256,128,244,79,102,98,142
argento,sentado,3,src/sprites/caelum/rest/argento/RSARA3.png,256,256,128,244,77,104,102,140
argento,sentado,4,src/sprites/caelum/rest/argento/RSARA4.png,256,256,128,244,75,104,106,140
argento,sentado,5,src/sprites/caelum/rest/argento/RSARA5.png,256,256,128,244,81,106,94,138
argento,sentado,6,src/sprites/caelum/rest/argento/RSARA6.png,256,256,128,244,75,105,105,139
argento,sentado,7,src/sprites/caelum/rest/argento/RSARA7.png,256,256,128,244,78,104,100,140
argento,sentado,8,src/sprites/caelum/rest/argento/RSARA8.png,256,256,128,244,76,104,104,140
argento,acostado,1,src/sprites/caelum/rest/argento/RSARB1.png,256,256,128,244,74,116,107,128
argento,acostado,2,src/sprites/caelum/rest/argento/RSARB2.png,256,256,128,244,59,124,138,120
argento,acostado,3,src/sprites/caelum/rest/argento/RSARB3.png,256,256,128,244,33,196,190,48
argento,acostado,4,src/sprites/caelum/rest/argento/RSARB4.png,256,256,128,244,55,127,145,117
argento,acostado,5,src/sprites/caelum/rest/argento/RSARB5.png,256,256,128,244,81,115,93,129
argento,acostado,6,src/sprites/caelum/rest/argento/RSARB6.png,256,256,128,244,59,131,138,113
argento,acostado,7,src/sprites/caelum/rest/argento/RSARB7.png,256,256,128,244,33,196,190,48
argento,acostado,8,src/sprites/caelum/rest/argento/RSARB8.png,256,256,128,244,54,128,147,116
caella,sentado,1,src/sprites/caelum/rest/caella/RSCAA1.png,256,256,128,244,82,103,92,141
caella,sentado,2,src/sprites/caelum/rest/caella/RSCAA2.png,256,256,128,244,77,105,101,139
caella,sentado,3,src/sprites/caelum/rest/caella/RSCAA3.png,256,256,128,244,79,107,97,137
caella,sentado,4,src/sprites/caelum/rest/caella/RSCAA4.png,256,256,128,244,77,107,101,137
caella,sentado,5,src/sprites/caelum/rest/caella/RSCAA5.png,256,256,128,244,80,107,95,137
caella,sentado,6,src/sprites/caelum/rest/caella/RSCAA6.png,256,256,128,244,76,101,103,143
caella,sentado,7,src/sprites/caelum/rest/caella/RSCAA7.png,256,256,128,244,80,103,96,141
caella,sentado,8,src/sprites/caelum/rest/caella/RSCAA8.png,256,256,128,244,77,102,101,142
caella,acostado,1,src/sprites/caelum/rest/caella/RSCAB1.png,256,256,128,244,77,139,101,105
