archivo,ruta_juego,base,tier,regla_colocacion,integracion,ancho_px,alto_px,modo,bbox_alfa
icons/ca_armor_heavy_t2.png,graphics/caelum/icons/ca_armor_heavy_t2.png,ca_armor_heavy,2,wearer_left_chest,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(9, 8, 118, 120)"
icons/ca_armor_heavy_t3.png,graphics/caelum/icons/ca_armor_heavy_t3.png,ca_armor_heavy,3,wearer_left_chest,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(9, 8, 119, 120)"
icons/ca_armor_light_t2.png,graphics/caelum/icons/ca_armor_light_t2.png,ca_armor_light,2,wearer_left_chest,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(16, 8, 112, 120)"
icons/ca_armor_light_t3.png,graphics/caelum/icons/ca_armor_light_t3.png,ca_armor_light,3,wearer_left_chest,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(15, 8, 113, 120)"
icons/ca_armor_magic_t2.png,graphics/caelum/icons/ca_armor_magic_t2.png,ca_armor_magic,2,wearer_left_chest,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(15, 8, 112, 120)"
icons/ca_armor_magic_t3.png,graphics/caelum/icons/ca_armor_magic_t3.png,ca_armor_magic,3,wearer_left_chest,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(16, 8, 111, 120)"
icons/ca_armor_medium_t2.png,graphics/caelum/icons/ca_armor_medium_t2.png,ca_armor_medium,2,wearer_left_chest,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(16, 8, 112, 120)"
icons/ca_armor_medium_t3.png,graphics/caelum/icons/ca_armor_medium_t3.png,ca_armor_medium,3,wearer_left_chest,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(16, 8, 111, 120)"
icons/ca_axe_t2.png,graphics/caelum/icons/ca_axe_t2.png,ca_axe,2,handle_near_active_head,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(8, 12, 120, 115)"
icons/ca_axe_t3.png,graphics/caelum/icons/ca_axe_t3.png,ca_axe,3,handle_near_active_head,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(8, 14, 120, 114)"
icons/ca_bell_t2.png,graphics/caelum/icons/ca_bell_t2.png,ca_bell,2,secondary_surface_clear_of_focus,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(14, 8, 113, 120)"
icons/ca_bell_t3.png,graphics/caelum/icons/ca_bell_t3.png,ca_bell,3,secondary_surface_clear_of_focus,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(16, 8, 112, 120)"
icons/ca_book_t2.png,graphics/caelum/icons/ca_book_t2.png,ca_book,2,secondary_surface_clear_of_focus,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(15, 8, 113, 120)"
icons/ca_book_t3.png,graphics/caelum/icons/ca_book_t3.png,ca_book,3,secondary_surface_clear_of_focus,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(15, 8, 112, 120)"
icons/ca_boots_heavy_t2.png,graphics/caelum/icons/ca_boots_heavy_t2.png,ca_boots_heavy,2,paired_ankles,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(15, 8, 113, 120)"
icons/ca_boots_heavy_t3.png,graphics/caelum/icons/ca_boots_heavy_t3.png,ca_boots_heavy,3,paired_ankles,"Herraje redibujado con perspectiva local, curvatura y luz",128,128,RGBA,"(14, 8, 113, 120)"
